Designator,Mid X,Mid Y,Layer,Rotation
C1,116.7624,-128.2446,bottom,90
C2,124.5094,-127.9906,bottom,180
C3,71.426,-132.1925,bottom,-90
C4,72.517,-135.89,bottom,180
C10,79.3478,-116.5098,bottom,0
C11,120.3978,-116.5098,bottom,0
D1,99.8728,-139.5828,bottom,0
J1,73.0728,-144.4219,bottom,180
J2,81.5032,-127.1552,bottom,90
J3,95.5728,-143.969,bottom,180
J4,104.1728,-143.969,bottom,180
J5,83.3728,-135.9719,bottom,-90
J6,81.8728,-110.5219,bottom,90
J7,122.9228,-110.5219,bottom,90
J8,111.3228,-135.9719,bottom,-90
L1,122.8584,-132.3086,bottom,-90
R1,119.8104,-125.9586,bottom,180
R2,119.8104,-123.9266,bottom,180
R3,97.7646,-134.5174,bottom,0
R4,96.5,-140,bottom,-90
R5,71.9594,-126.746,bottom,180
R6,71.9594,-124.841,bottom,180
R7,71.9594,-128.778,bottom,0
R8,112.903,-77.327,bottom,0
R9,112.903,-79.613,bottom,0
R10,82.677,-78.089,bottom,-90
R11,91.313,-78.089,bottom,-90
R12,93.472,-78.089,bottom,-90
R13,101.346,-78.089,bottom,-90
R14,103.378,-78.089,bottom,-90
R15,105.41,-78.089,bottom,-90
R16,107.442,-78.089,bottom,-90
R17,97.7646,-136.524,bottom,180
SW1,125.4728,-147.5,bottom,0
U1,119.9882,-128.6256,bottom,180
U2,74.422,-132.207,bottom,180
C5,98,-98.0915,top,90
C6,100.9142,-99.8982,top,-90
C7,99.3902,-99.1362,top,-90
C8,102.5,-52.6879,top,-90
C9,99.8728,-54,top,0
EC1,99.8728,-74.0219,top,0
SW2,99.8728,-128.5219,top,0
SW3,121.8728,-128.5219,top,0
SW4,77.8728,-128.5219,top,0
SW5,99.8728,-82.5219,top,0
SW6,99.8728,-111.5219,top,0
SW7,114.3728,-97.0219,top,0
SW8,85.3728,-97.0219,top,0
U3,99.8728,-97.0219,top,0
U4,99.8728,-51.6719,top,0
